0.000000000	60
0.041138292	54
1.086029289	117
1.086143517	6904
1.087581659	60
1.087581850	60
1.087581903	60
1.087581923	60
1.087581944	60
1.087581965	60
1.144129035	751
1.144281715	54
1.149249596	89
1.150115569	60
1.424970978	60
1.459748239	54
3.371165838	54
3.371265118	54
3.371303523	54
3.371452086	940
3.373237000	60
3.373237200	60
3.373237252	60
3.373237271	60
3.474439361	1024
3.474518193	54
3.477616672	1127
3.478783473	60
3.626666533	705
3.626834461	756
3.639455087	1680
3.640919108	54
3.641897075	809
3.643411344	60
3.694191675	94
3.694464460	94
3.710357350	90
3.710753063	90
3.710882739	76
3.710957978	186
3.711204230	90
3.711221480	80
3.716226104	222
3.716226320	201
3.716763767	100
3.722540420	74
3.727310640	185
3.735493415	60
3.735544088	54
3.736124655	1787
3.736799111	60
3.736799223	60
3.749989446	2934
3.750037383	54
3.750785942	1494
3.750820250	54
3.753253032	534
3.753351174	54
3.755629845	118
3.755779258	146
3.756374864	60
3.756385311	990
3.756374910	60
3.756867864	60
3.771935073	304
3.772121237	85
3.772670283	60
3.784196158	90
3.803958707	1274
3.803959168	986
3.804547206	80
3.929467189	72
3.953108998	90
3.957692058	1583
3.957889606	54
3.957692474	3289
3.958574064	54
3.967798648	633
3.968507177	60
3.991792453	1494
3.994408988	8814
3.994425045	54
3.994617024	11454
3.994693794	54
3.996117890	10741
3.996129805	54
3.999057416	90
4.014150022	636
4.015163354	60
4.023266816	1494
4.028684152	8694
4.029685432	1948
4.031042443	54
4.046424126	8694
4.046449135	54
4.046424437	5894
4.046479161	54
4.046856638	8614
4.047005663	54
4.048502128	11574
4.049187501	7354
4.051567627	54
4.052824585	6404
4.052866081	54
4.096736306	636
4.098055948	60
4.119934835	13014
4.120049085	54
4.120188777	3500
4.120196912	54
4.123252338	17334
4.123303506	54
4.124003676	11574
4.124017560	54
4.126335079	5814
4.126346333	54
4.128758390	14368
4.128771207	54
4.130505886	8780
4.130515383	54
4.134176301	6552
4.134256374	54
4.138592655	637
4.139354283	60
4.157858076	8694
4.157901140	54
4.158728007	23660
4.158765334	54
4.159704877	1494
4.161513300	10134
4.161590594	54
4.162718668	7254
4.162731326	54
4.164682111	1494
4.167383612	7254
4.167396568	54
4.168046841	34614
4.168060009	54
4.168595232	2934
4.168601434	54
4.170527066	30294
4.170541472	54
4.177916937	1494
4.178642537	2144
4.178657620	54
4.180213711	4374
4.180225446	54
4.180980547	10924
4.180990602	54
4.181145369	14697
4.181149392	54
4.187011958	637
4.187580607	60
4.202490935	1494
4.203160247	14454
4.203180350	54
4.203905784	620
4.206638707	1494
4.206650582	54
4.209055148	18774
4.209072633	54
4.209359731	1494
4.210474907	1494
4.210485478	54
4.214471125	1494
4.215196944	37139
4.215300954	54
4.215522634	26334
4.215529049	54
4.215733674	25614
4.215738538	54
4.217177542	25974
4.217188677	54
4.218140919	2934
4.218149362	54
4.220626774	2010
4.220642722	54
4.225596655	637
4.226164004	60
4.241313847	9775
4.241333292	54
4.242148880	16460
4.242159307	54
4.242970949	24534
4.242984638	54
4.243586504	2934
4.243591810	54
4.246942348	9826
